course_id,config_id,subpart_id,class_id,class_limit,class_room,class_parent,room_id,room_penalty
1,1,1,1,50,0,,,190,0
1,1,2,2,50,0,,1,190,0
2,2,3,3,50,0,,,71,6
2,2,3,3,50,0,,,69,0
2,2,3,3,50,0,,,201,10
2,2,3,3,50,0,,,202,6
2,2,3,3,50,0,,,214,10
2,2,3,3,50,0,,,209,10
2,2,3,3,50,0,,,210,10
2,2,3,3,50,0,,,211,10
2,2,3,3,50,0,,,212,10
2,2,3,3,50,0,,,213,10
2,2,3,3,50,0,,,102,10
2,2,4,4,50,0,,3,71,6
2,2,4,4,50,0,,3,69,0
2,2,4,4,50,0,,3,201,10
2,2,4,4,50,0,,3,202,6
2,2,4,4,50,0,,3,214,10
2,2,4,4,50,0,,3,209,10
2,2,4,4,50,0,,3,210,10
2,2,4,4,50,0,,3,211,10
2,2,4,4,50,0,,3,212,10
2,2,4,4,50,0,,3,213,10
2,2,4,4,50,0,,3,102,10
3,3,5,5,50,0,,,71,6
3,3,5,5,50,0,,,69,0
3,3,5,5,50,0,,,201,10
3,3,5,5,50,0,,,202,6
3,3,5,5,50,0,,,214,10
3,3,5,5,50,0,,,209,10
3,3,5,5,50,0,,,210,10
3,3,5,5,50,0,,,211,10
3,3,5,5,50,0,,,212,10
3,3,5,5,50,0,,,213,10
3,3,5,5,50,0,,,102,10
4,4,6,6,50,0,,,71,0
4,4,6,6,50,0,,,69,14
4,4,6,6,50,0,,,201,14
4,4,6,6,50,0,,,202,10
4,4,6,6,50,0,,,214,14
4,4,6,6,50,0,,,209,14
4,4,6,6,50,0,,,210,14
4,4,6,6,50,0,,,211,14
4,4,6,6,50,0,,,212,14
4,4,6,6,50,0,,,213,14
4,4,6,6,50,0,,,102,14
4,4,7,7,50,0,,6,71,0
4,4,7,7,50,0,,6,69,14
4,4,7,7,50,0,,6,201,14
4,4,7,7,50,0,,6,202,10
4,4,7,7,50,0,,6,214,14
4,4,7,7,50,0,,6,209,14
4,4,7,7,50,0,,6,210,14
4,4,7,7,50,0,,6,211,14
4,4,7,7,50,0,,6,212,14
4,4,7,7,50,0,,6,213,14
4,4,7,7,50,0,,6,102,14
5,5,8,8,50,0,,,71,6
5,5,8,8,50,0,,,69,0
5,5,8,8,50,0,,,201,10
5,5,8,8,50,0,,,202,6
5,5,8,8,50,0,,,214,10
5,5,8,8,50,0,,,209,10
5,5,8,8,50,0,,,210,10
5,5,8,8,50,0,,,211,10
5,5,8,8,50,0,,,212,10
5,5,8,8,50,0,,,213,10
5,5,8,8,50,0,,,102,10
5,5,9,9,50,0,,8,71,6
5,5,9,9,50,0,,8,69,0
5,5,9,9,50,0,,8,201,10
5,5,9,9,50,0,,8,202,6
5,5,9,9,50,0,,8,214,10
5,5,9,9,50,0,,8,209,10
5,5,9,9,50,0,,8,210,10
5,5,9,9,50,0,,8,211,10
5,5,9,9,50,0,,8,212,10
5,5,9,9,50,0,,8,213,10
5,5,9,9,50,0,,8,102,10
6,6,10,10,50,0,,,71,6
6,6,10,10,50,0,,,69,0
6,6,10,10,50,0,,,201,10
6,6,10,10,50,0,,,202,6
6,6,10,10,50,0,,,214,10
6,6,10,10,50,0,,,209,10
6,6,10,10,50,0,,,210,10
6,6,10,10,50,0,,,211,10
6,6,10,10,50,0,,,212,10
6,6,10,10,50,0,,,213,10
6,6,10,10,50,0,,,102,10
6,6,11,11,50,0,,10,71,6
6,6,11,11,50,0,,10,69,0
6,6,11,11,50,0,,10,201,10
6,6,11,11,50,0,,10,202,6
6,6,11,11,50,0,,10,214,10
6,6,11,11,50,0,,10,209,10
6,6,11,11,50,0,,10,210,10
6,6,11,11,50,0,,10,211,10
6,6,11,11,50,0,,10,212,10
6,6,11,11,50,0,,10,213,10
6,6,11,11,50,0,,10,102,10
7,7,12,12,25,0,,,97,0
7,7,12,12,25,0,,,138,0
7,7,12,12,25,0,,,135,0
7,7,12,12,25,0,,,134,0
7,7,12,12,25,0,,,100,0
7,7,13,14,25,0,,12,97,0
7,7,13,14,25,0,,12,138,0
7,7,13,14,25,0,,12,135,0
7,7,13,14,25,0,,12,134,0
7,7,13,14,25,0,,12,100,0
7,7,14,16,25,0,,14,97,0
7,7,14,16,25,0,,14,138,0
7,7,14,16,25,0,,14,135,0
7,7,14,16,25,0,,14,134,0
7,7,14,16,25,0,,14,100,0
13,13,30,48,30,0,,,68,36
13,13,30,48,30,0,,,56,40
13,13,30,48,30,0,,,18,37
13,13,30,48,30,0,,,20,40
13,13,30,48,30,0,,,55,36
13,13,30,48,30,0,,,54,36
13,13,30,48,30,0,,,70,40
13,13,30,48,30,0,,,67,40
13,13,30,48,30,0,,,201,40
13,13,30,48,30,0,,,53,40
13,13,30,48,30,0,,,52,0
13,13,30,48,30,0,,,57,0
13,13,30,48,30,0,,,19,0
13,13,30,48,30,0,,,51,36
13,13,30,48,30,0,,,32,36
13,13,30,48,30,0,,,8,40
13,13,30,48,30,0,,,30,40
13,13,30,48,30,0,,,26,40
13,13,30,48,30,0,,,16,40
13,13,30,48,30,0,,,17,40
13,13,30,48,30,0,,,15,40
13,13,30,48,30,0,,,22,36
13,13,30,48,30,0,,,27,40
13,13,30,48,30,0,,,14,40
13,13,30,48,30,0,,,25,40
13,13,30,48,30,0,,,7,40
13,13,30,48,30,0,,,23,40
13,13,30,48,30,0,,,24,40
13,13,30,48,30,0,,,3,40
13,13,30,48,30,0,,,96,40
13,13,30,48,30,0,,,98,40
13,13,30,48,30,0,,,4,40
13,13,30,48,30,0,,,12,40
13,13,30,48,30,0,,,2,40
13,13,30,48,30,0,,,5,36
13,13,30,48,30,0,,,13,40
13,13,30,48,30,0,,,10,40
13,13,30,48,30,0,,,1,40
13,13,30,48,30,0,,,31,40
13,13,30,48,30,0,,,9,40
13,13,30,48,30,0,,,11,37
13,13,30,48,30,0,,,210,40
13,13,30,48,30,0,,,211,40
13,13,30,48,30,0,,,137,40
13,13,30,48,30,0,,,212,40
13,13,30,48,30,0,,,136,40
13,13,30,48,30,0,,,213,40
13,13,30,48,30,0,,,139,40
13,13,30,48,30,0,,,45,40
13,13,30,48,30,0,,,46,40
13,13,30,48,30,0,,,117,40
13,13,30,48,30,0,,,115,40
13,13,30,48,30,0,,,112,40
13,13,30,48,30,0,,,116,40
13,13,30,48,30,0,,,114,40
13,13,30,48,30,0,,,111,40
13,13,30,48,30,0,,,113,40
13,13,30,48,30,0,,,101,40
13,13,30,48,30,0,,,99,40
13,13,30,48,30,0,,,97,40
13,13,30,48,30,0,,,138,40
13,13,30,48,30,0,,,135,40
13,13,30,48,30,0,,,134,40
13,13,30,48,30,0,,,100,40
13,13,30,48,30,0,,,102,40
13,13,30,48,30,0,,,36,36
13,13,30,48,30,0,,,33,40
13,13,30,48,30,0,,,34,40
13,13,30,48,30,0,,,37,40
13,13,30,48,30,0,,,50,40
13,13,30,48,30,0,,,61,40
13,13,30,48,30,0,,,49,40
13,13,30,48,30,0,,,59,40
13,13,30,48,30,0,,,62,40
13,13,30,48,30,0,,,200,40
13,13,30,48,30,0,,,60,40
13,13,30,48,30,0,,,64,40
13,13,30,48,30,0,,,65,40
13,13,30,48,30,0,,,63,40
13,13,30,48,30,0,,,182,40
13,13,30,48,30,0,,,175,40
13,13,30,48,30,0,,,29,40
13,13,30,48,30,0,,,28,37
14,14,31,49,30,0,,,68,39
14,14,31,49,30,0,,,56,3
14,14,31,49,30,0,,,18,0
14,14,31,49,30,0,,,20,3
14,14,31,49,30,0,,,55,39
14,14,31,49,30,0,,,54,39
14,14,31,49,30,0,,,70,3
14,14,31,49,30,0,,,67,3
14,14,31,49,30,0,,,201,3
14,14,31,49,30,0,,,53,3
14,14,31,49,30,0,,,52,43
14,14,31,49,30,0,,,57,43
14,14,31,49,30,0,,,19,43
14,14,31,49,30,0,,,51,39
14,14,31,49,30,0,,,32,39
14,14,31,49,30,0,,,8,43
14,14,31,49,30,0,,,30,43
14,14,31,49,30,0,,,26,43
14,14,31,49,30,0,,,16,43
14,14,31,49,30,0,,,17,43
14,14,31,49,30,0,,,15,43
14,14,31,49,30,0,,,22,39
14,14,31,49,30,0,,,27,43
14,14,31,49,30,0,,,14,43
14,14,31,49,30,0,,,25,43
14,14,31,49,30,0,,,7,43
14,14,31,49,30,0,,,23,43
14,14,31,49,30,0,,,24,43
14,14,31,49,30,0,,,3,43
14,14,31,49,30,0,,,96,43
14,14,31,49,30,0,,,98,43
14,14,31,49,30,0,,,4,43
14,14,31,49,30,0,,,12,43
14,14,31,49,30,0,,,2,43
14,14,31,49,30,0,,,5,39
14,14,31,49,30,0,,,13,43
14,14,31,49,30,0,,,10,43
14,14,31,49,30,0,,,1,43
14,14,31,49,30,0,,,31,43
14,14,31,49,30,0,,,9,43
14,14,31,49,30,0,,,11,40
14,14,31,49,30,0,,,210,43
14,14,31,49,30,0,,,211,43
14,14,31,49,30,0,,,137,43
14,14,31,49,30,0,,,212,43
14,14,31,49,30,0,,,136,43
14,14,31,49,30,0,,,213,43
14,14,31,49,30,0,,,139,43
14,14,31,49,30,0,,,45,43
14,14,31,49,30,0,,,46,43
14,14,31,49,30,0,,,117,43
14,14,31,49,30,0,,,115,43
14,14,31,49,30,0,,,112,43
14,14,31,49,30,0,,,116,43
14,14,31,49,30,0,,,114,43
14,14,31,49,30,0,,,111,43
14,14,31,49,30,0,,,113,43
14,14,31,49,30,0,,,101,43
14,14,31,49,30,0,,,99,43
14,14,31,49,30,0,,,97,43
14,14,31,49,30,0,,,138,43
14,14,31,49,30,0,,,135,43
14,14,31,49,30,0,,,134,43
14,14,31,49,30,0,,,100,43
14,14,31,49,30,0,,,102,43
14,14,31,49,30,0,,,36,39
14,14,31,49,30,0,,,33,43
