class_id,type,required,
1,SameAttendees,true,
2,SameAttendees,true,
1103,SameAttendees,true,
1104,SameAttendees,true,
1105,SameAttendees,true,
1128,SameAttendees,true,
1143,SameAttendees,true,
1144,SameAttendees,true,
1218,SameAttendees,true,
1232,SameAttendees,true,
1237,SameAttendees,true,
1266,SameAttendees,true,
1267,SameAttendees,true,
3,SameAttendees,true,
4,SameAttendees,true,
8,SameAttendees,true,
9,SameAttendees,true,
1241,SameAttendees,true,
1243,SameAttendees,true,
1251,SameAttendees,true,
1270,SameAttendees,true,
5,SameAttendees,true,
1106,SameAttendees,true,
1894,SameAttendees,true,
1895,SameAttendees,true,
1900,SameAttendees,true,
1904,SameAttendees,true,
1905,SameAttendees,true,
1906,SameAttendees,true,
1917,SameAttendees,true,
1929,SameAttendees,true,
1939,SameAttendees,true,
1945,SameAttendees,true,
1954,SameAttendees,true,
1957,SameAttendees,true,
2619,SameAttendees,true,
6,SameAttendees,true,
7,SameAttendees,true,
1208,SameAttendees,true,
1214,SameAttendees,true,
1272,SameAttendees,true,
1273,SameAttendees,true,
1921,SameAttendees,true,
10,SameAttendees,true,
11,SameAttendees,true,
1238,SameAttendees,true,
1248,SameAttendees,true,
1275,SameAttendees,true,
1880,SameAttendees,true,
1881,SameAttendees,true,
1887,SameAttendees,true,
1888,SameAttendees,true,
12,SameAttendees,true,
14,SameAttendees,true,
16,SameAttendees,true,
64,SameAttendees,true,
66,SameAttendees,true,
69,SameAttendees,true,
71,SameAttendees,true,
1484,SameAttendees,true,
1487,SameAttendees,true,
1490,SameAttendees,true,
13,SameAttendees,true,
15,SameAttendees,true,
17,SameAttendees,true,
65,SameAttendees,true,
67,SameAttendees,true,
1483,SameAttendees,true,
1486,SameAttendees,true,
1489,SameAttendees,true,
1608,SameAttendees,true,
21,SameAttendees,true,
24,SameAttendees,true,
27,SameAttendees,true,
29,SameAttendees,true,
32,SameAttendees,true,
35,SameAttendees,true,
28,SameAttendees,true,
31,SameAttendees,true,
34,SameAttendees,true,
53,SameAttendees,true,
78,SameAttendees,true,
82,SameAttendees,true,
169,SameAttendees,true,
170,SameAttendees,true,
1634,SameAttendees,true,
1635,SameAttendees,true,
1641,SameAttendees,true,
36,SameAttendees,true,
38,SameAttendees,true,
40,SameAttendees,true,
43,SameAttendees,true,
45,SameAttendees,true,
47,SameAttendees,true,
1642,SameAttendees,true,
1655,SameAttendees,true,
1656,SameAttendees,true,
48,SameAttendees,true,
80,SameAttendees,true,
81,SameAttendees,true,
49,SameAttendees,true,
1595,SameAttendees,true,
50,SameAttendees,true,
1540,SameAttendees,true,
1544,SameAttendees,true,
1572,SameAttendees,true,
1576,SameAttendees,true,
1580,SameAttendees,true,
1584,SameAttendees,true,
1594,SameAttendees,true,
52,SameAttendees,true,
183,SameAttendees,true,
185,SameAttendees,true,
187,SameAttendees,true,
