course_id,config_id,subpart_id,class_id,class_limit,class_room,class_parent,class_days,class_start,class_length,class_weeks,class_penalty
1,1,1,1,20,,,0010000,120,22,1111111111111,0
2,2,2,2,30,,,0000100,96,22,1111111111111,0
2,2,2,3,30,,,0000100,144,22,1111111111111,0
3,3,3,4,20,,,1000000,96,46,1111111111111,0
3,3,3,4,20,,,0000100,96,46,1111111111111,0
3,3,3,4,20,,,1000000,108,46,1111111111111,0
3,3,3,4,20,,,0000100,108,46,1111111111111,0
3,3,3,4,20,,,1000000,120,46,1111111111111,0
3,3,3,4,20,,,0000100,120,46,1111111111111,0
3,3,3,4,20,,,1000000,132,46,1111111111111,0
3,3,3,4,20,,,0000100,132,46,1111111111111,2
3,3,3,4,20,,,1000000,144,46,1111111111111,0
3,3,3,4,20,,,0000100,144,46,1111111111111,2
3,3,3,4,20,,,1000000,156,46,1111111111111,0
3,3,3,4,20,,,0000100,156,46,1111111111111,2
3,3,3,4,20,,,1000000,168,46,1111111111111,0
3,3,3,4,20,,,0000100,168,46,1111111111111,2
3,3,3,4,20,,,1000000,180,46,1111111111111,2
3,3,3,4,20,,,0000100,180,46,1111111111111,2
3,3,3,4,20,,,1000000,192,46,1111111111111,2
3,3,3,4,20,,,0000100,192,46,1111111111111,2
4,4,4,5,200,,,0010000,120,22,1111111111111,0
4,4,5,6,25,,,0001000,96,22,1010101010101,0
4,4,5,6,25,,,0001000,120,22,1010101010101,0
4,4,5,6,25,,,0001000,144,22,1010101010101,0
4,4,5,7,25,,,0001000,96,22,0101010101010,0
4,4,5,7,25,,,0001000,120,22,0101010101010,0
4,4,5,7,25,,,0001000,144,22,0101010101010,0
4,4,5,8,25,,,1000000,120,22,1010101010101,0
4,4,5,8,25,,,0100000,120,22,1010101010101,0
4,4,5,8,25,,,0010000,120,22,1010101010101,0
4,4,5,8,25,,,0001000,120,22,1010101010101,0
4,4,5,8,25,,,0000100,120,22,1010101010101,0
4,4,5,8,25,,,0100000,144,22,1010101010101,0
4,4,5,8,25,,,0010000,144,22,1010101010101,0
4,4,5,8,25,,,0001000,144,22,1010101010101,0
4,4,5,8,25,,,0000100,144,22,1010101010101,0
4,4,5,8,25,,,0100000,168,22,1010101010101,0
4,4,5,8,25,,,0010000,168,22,1010101010101,0
4,4,5,8,25,,,0001000,168,22,1010101010101,0
4,4,5,8,25,,,0000100,168,22,1010101010101,2
4,4,5,9,25,,,1000000,120,22,0101010101010,0
4,4,5,9,25,,,0100000,120,22,0101010101010,0
4,4,5,9,25,,,0010000,120,22,0101010101010,0
4,4,5,9,25,,,0001000,120,22,0101010101010,0
4,4,5,9,25,,,0000100,120,22,0101010101010,0
4,4,5,9,25,,,0100000,144,22,0101010101010,0
4,4,5,9,25,,,0010000,144,22,0101010101010,0
4,4,5,9,25,,,0001000,144,22,0101010101010,0
4,4,5,9,25,,,0000100,144,22,0101010101010,0
4,4,5,9,25,,,0100000,168,22,0101010101010,0
4,4,5,9,25,,,0010000,168,22,0101010101010,0
4,4,5,9,25,,,0001000,168,22,0101010101010,0
4,4,5,9,25,,,0000100,168,22,0101010101010,2
4,4,5,10,25,,,1000000,96,22,1010101010101,16
4,4,5,10,25,,,0100000,96,22,1010101010101,16
4,4,5,10,25,,,0010000,96,22,1010101010101,16
4,4,5,10,25,,,0001000,96,22,1010101010101,16
4,4,5,10,25,,,0000100,96,22,1010101010101,16
4,4,5,10,25,,,1000000,120,22,1010101010101,0
4,4,5,10,25,,,0100000,120,22,1010101010101,0
4,4,5,10,25,,,0010000,120,22,1010101010101,0
4,4,5,10,25,,,0001000,120,22,1010101010101,0
4,4,5,10,25,,,0000100,120,22,1010101010101,0
4,4,5,10,25,,,1000000,144,22,1010101010101,0
4,4,5,10,25,,,0100000,144,22,1010101010101,0
4,4,5,10,25,,,0010000,144,22,1010101010101,0
4,4,5,10,25,,,0001000,144,22,1010101010101,0
4,4,5,10,25,,,0000100,144,22,1010101010101,0
4,4,5,10,25,,,1000000,168,22,1010101010101,0
4,4,5,10,25,,,0100000,168,22,1010101010101,0
4,4,5,10,25,,,0010000,168,22,1010101010101,0
4,4,5,10,25,,,0001000,168,22,1010101010101,0
4,4,5,10,25,,,0000100,168,22,1010101010101,2
4,4,5,10,25,,,1000000,192,22,1010101010101,0
4,4,5,10,25,,,0100000,192,22,1010101010101,0
4,4,5,10,25,,,0010000,192,22,1010101010101,0
4,4,5,10,25,,,0001000,192,22,1010101010101,0
4,4,5,10,25,,,0000100,192,22,1010101010101,2
4,4,5,10,25,,,1000000,216,22,1010101010101,18
4,4,5,10,25,,,0100000,216,22,1010101010101,18
4,4,5,10,25,,,0010000,216,22,1010101010101,18
4,4,5,10,25,,,0001000,216,22,1010101010101,18
4,4,5,10,25,,,0000100,216,22,1010101010101,18
4,4,5,11,25,,,1000000,96,22,0101010101010,16
4,4,5,11,25,,,0100000,96,22,0101010101010,16
4,4,5,11,25,,,0010000,96,22,0101010101010,16
4,4,5,11,25,,,0001000,96,22,0101010101010,16
4,4,5,11,25,,,0000100,96,22,0101010101010,16
4,4,5,11,25,,,1000000,120,22,0101010101010,0
4,4,5,11,25,,,0100000,120,22,0101010101010,0
4,4,5,11,25,,,0010000,120,22,0101010101010,0
4,4,5,11,25,,,0001000,120,22,0101010101010,0
4,4,5,11,25,,,0000100,120,22,0101010101010,0
4,4,5,11,25,,,1000000,144,22,0101010101010,0
4,4,5,11,25,,,0100000,144,22,0101010101010,0
4,4,5,11,25,,,0010000,144,22,0101010101010,0
4,4,5,11,25,,,0001000,144,22,0101010101010,0
4,4,5,11,25,,,0000100,144,22,0101010101010,0
4,4,5,11,25,,,1000000,168,22,0101010101010,0
4,4,5,11,25,,,0100000,168,22,0101010101010,0
4,4,5,11,25,,,0010000,168,22,0101010101010,0
4,4,5,11,25,,,0001000,168,22,0101010101010,0
4,4,5,11,25,,,0000100,168,22,0101010101010,2
4,4,5,11,25,,,1000000,192,22,0101010101010,0
4,4,5,11,25,,,0100000,192,22,0101010101010,0
4,4,5,11,25,,,0010000,192,22,0101010101010,0
4,4,5,11,25,,,0001000,192,22,0101010101010,0
4,4,5,11,25,,,0000100,192,22,0101010101010,2
4,4,5,11,25,,,1000000,216,22,0101010101010,18
4,4,5,11,25,,,0100000,216,22,0101010101010,18
4,4,5,11,25,,,0010000,216,22,0101010101010,18
4,4,5,11,25,,,0001000,216,22,0101010101010,18
4,4,5,11,25,,,0000100,216,22,0101010101010,18
