class_id;type;required;penalty
2;SameAttendees;true;
3;SameAttendees;true;
2;SameAttendees;true;
3;SameAttendees;true;
409;SameAttendees;true;
410;SameAttendees;true;
411;SameAttendees;true;
412;SameAttendees;true;
4;SameAttendees;true;
231;SameAttendees;true;
472;SameAttendees;true;
5;SameAttendees;true;
21;SameAttendees;true;
226;SameAttendees;true;
6;SameAttendees;true;
7;SameAttendees;true;
54;SameAttendees;true;
132;SameAttendees;true;
133;SameAttendees;true;
134;SameAttendees;true;
8;SameAttendees;true;
9;SameAttendees;true;
21;SameAttendees;true;
63;SameAttendees;true;
72;SameAttendees;true;
10;SameAttendees;true;
11;SameAttendees;true;
58;SameAttendees;true;
68;SameAttendees;true;
14;SameAttendees;true;
15;SameAttendees;true;
16;SameAttendees;true;
130;SameAttendees;true;
17;SameAttendees;true;
18;SameAttendees;true;
19;SameAttendees;true;
20;SameAttendees;true;
118;SameAttendees;true;
22;SameAttendees;true;
246;SameAttendees;true;
23;SameAttendees;true;
77;SameAttendees;true;
24;SameAttendees;true;
78;SameAttendees;true;
79;SameAttendees;true;
25;SameAttendees;true;
25;SameAttendees;true;
374;SameAttendees;true;
25;SameAttendees;true;
477;SameAttendees;true;
482;SameAttendees;true;
483;SameAttendees;true;
25;SameAttendees;true;
297;SameAttendees;true;
404;SameAttendees;true;
25;SameAttendees;true;
36;SameAttendees;true;
26;SameAttendees;true;
367;SameAttendees;true;
27;SameAttendees;true;
37;SameAttendees;true;
159;SameAttendees;true;
28;SameAttendees;true;
29;SameAttendees;true;
172;SameAttendees;true;
173;SameAttendees;true;
174;SameAttendees;true;
30;SameAttendees;true;
255;SameAttendees;true;
419;SameAttendees;true;
421;SameAttendees;true;
31;SameAttendees;true;
32;SameAttendees;true;
101;SameAttendees;true;
399;SameAttendees;true;
419;SameAttendees;true;
33;SameAttendees;true;
34;SameAttendees;true;
398;SameAttendees;true;
419;SameAttendees;true;
35;SameAttendees;true;
110;SameAttendees;true;
124;SameAttendees;true;
320;SameAttendees;true;
326;SameAttendees;true;
38;SameAttendees;true;
39;SameAttendees;true;
40;SameAttendees;true;
41;SameAttendees;true;
42;SameAttendees;true;
85;SameAttendees;true;
86;SameAttendees;true;
43;SameAttendees;true;
44;SameAttendees;true;
45;SameAttendees;true;
46;SameAttendees;true;
59;SameAttendees;true;
61;SameAttendees;true;
48;SameAttendees;true;
49;SameAttendees;true;
55;SameAttendees;true;
56;SameAttendees;true;
57;SameAttendees;true;
58;SameAttendees;true;
59;SameAttendees;true;
60;SameAttendees;true;
60;SameAttendees;true;
65;SameAttendees;true;
66;SameAttendees;true;
64;SameAttendees;true;
69;SameAttendees;true;
70;SameAttendees;true;
129;SameAttendees;true;
131;SameAttendees;true;
73;SameAttendees;true;
74;SameAttendees;true;
75;SameAttendees;true;
76;SameAttendees;true;
160;SameAttendees;true;
161;SameAttendees;true;
162;SameAttendees;true;
163;SameAttendees;true;
80;SameAttendees;true;
81;SameAttendees;true;
135;SameAttendees;true;
466;SameAttendees;true;
82;SameAttendees;true;
84;SameAttendees;true;
87;SameAttendees;true;
88;SameAttendees;true;
89;SameAttendees;true;
90;SameAttendees;true;
91;SameAttendees;true;
426;SameAttendees;true;
429;SameAttendees;true;
432;SameAttendees;true;
435;SameAttendees;true;
438;SameAttendees;true;
441;SameAttendees;true;
91;SameAttendees;true;
104;SameAttendees;true;
92;SameAttendees;true;
93;SameAttendees;true;
94;SameAttendees;true;
96;SameAttendees;true;
97;SameAttendees;true;
102;SameAttendees;true;
149;SameAttendees;true;
150;SameAttendees;true;
151;SameAttendees;true;
332;SameAttendees;true;
333;SameAttendees;true;
334;SameAttendees;true;
335;SameAttendees;true;
103;SameAttendees;true;
256;SameAttendees;true;
257;SameAttendees;true;
419;SameAttendees;true;
105;SameAttendees;true;
106;SameAttendees;true;
356;SameAttendees;true;
108;SameAttendees;true;
109;SameAttendees;true;
409;SameAttendees;true;
410;SameAttendees;true;
411;SameAttendees;true;
412;SameAttendees;true;
111;SameAttendees;true;
112;SameAttendees;true;
232;SameAttendees;true;
344;SameAttendees;true;
345;SameAttendees;true;
346;SameAttendees;true;
379;SameAttendees;true;
474;SameAttendees;true;
113;SameAttendees;true;
114;SameAttendees;true;
115;SameAttendees;true;
119;SameAttendees;true;
120;SameAttendees;true;
121;SameAttendees;true;
122;SameAttendees;true;
125;SameAttendees;true;
126;SameAttendees;true;
127;SameAttendees;true;
128;SameAttendees;true;
230;SameAttendees;true;
136;SameAttendees;true;
137;SameAttendees;true;
138;SameAttendees;true;
139;SameAttendees;true;
140;SameAttendees;true;
141;SameAttendees;true;
142;SameAttendees;true;
143;SameAttendees;true;
144;SameAttendees;true;
145;SameAttendees;true;
146;SameAttendees;true;
147;SameAttendees;true;
148;SameAttendees;true;
388;SameAttendees;true;
476;SameAttendees;true;
152;SameAttendees;true;
153;SameAttendees;true;
154;SameAttendees;true;
155;SameAttendees;true;
156;SameAttendees;true;
157;SameAttendees;true;
158;SameAttendees;true;
164;SameAttendees;true;
165;SameAttendees;true;
166;SameAttendees;true;
167;SameAttendees;true;
168;SameAttendees;true;
169;SameAttendees;true;
170;SameAttendees;true;
171;SameAttendees;true;
175;SameAttendees;true;
176;SameAttendees;true;
177;SameAttendees;true;
