course_id,config_id,subpart_id,class_id,class_limit,class_room,class_parent,class_days,class_start,class_length,class_weeks,class_penalty
1,1,1,1,20,,,0010000,120,22,11111111111111,0
2,2,2,2,10,,,0001000,168,22,11111111111111,0
3,3,3,3,20,,,1000000,96,46,11111111111111,0
3,3,3,3,20,,,0000100,96,46,11111111111111,0
3,3,3,3,20,,,1000000,108,46,11111111111111,0
3,3,3,3,20,,,0000100,108,46,11111111111111,0
3,3,3,3,20,,,1000000,120,46,11111111111111,0
3,3,3,3,20,,,0000100,120,46,11111111111111,0
3,3,3,3,20,,,1000000,132,46,11111111111111,0
3,3,3,3,20,,,0000100,132,46,11111111111111,2
3,3,3,3,20,,,1000000,144,46,11111111111111,0
3,3,3,3,20,,,0000100,144,46,11111111111111,2
3,3,3,3,20,,,1000000,156,46,11111111111111,0
3,3,3,3,20,,,0000100,156,46,11111111111111,2
3,3,3,3,20,,,1000000,168,46,11111111111111,0
3,3,3,3,20,,,0000100,168,46,11111111111111,2
3,3,3,3,20,,,1000000,180,46,11111111111111,2
3,3,3,3,20,,,0000100,180,46,11111111111111,2
3,3,3,3,20,,,1000000,192,46,11111111111111,2
3,3,3,3,20,,,0000100,192,46,11111111111111,2
4,4,4,4,120,,,1000000,96,22,11111111111111,10
4,4,4,4,120,,,0100000,96,22,11111111111111,10
4,4,4,4,120,,,0010000,96,22,11111111111111,10
4,4,4,4,120,,,0001000,96,22,11111111111111,10
4,4,4,4,120,,,0000100,96,22,11111111111111,10
4,4,4,4,120,,,1000000,120,22,11111111111111,0
4,4,4,4,120,,,0100000,120,22,11111111111111,0
4,4,4,4,120,,,0010000,120,22,11111111111111,0
4,4,4,4,120,,,0001000,120,22,11111111111111,0
4,4,4,4,120,,,0000100,120,22,11111111111111,0
4,4,4,4,120,,,1000000,144,22,11111111111111,0
4,4,4,4,120,,,0100000,144,22,11111111111111,0
4,4,4,4,120,,,0010000,144,22,11111111111111,0
4,4,4,4,120,,,0001000,144,22,11111111111111,0
4,4,4,4,120,,,0000100,144,22,11111111111111,10
4,4,4,4,120,,,1000000,168,22,11111111111111,0
4,4,4,4,120,,,0100000,168,22,11111111111111,0
4,4,4,4,120,,,0010000,168,22,11111111111111,0
4,4,4,4,120,,,0001000,168,22,11111111111111,0
4,4,4,4,120,,,0000100,168,22,11111111111111,12
4,4,4,4,120,,,1000000,192,22,11111111111111,10
4,4,4,4,120,,,0100000,192,22,11111111111111,10
4,4,4,4,120,,,0010000,192,22,11111111111111,10
4,4,4,4,120,,,0001000,192,22,11111111111111,10
4,4,4,4,120,,,0000100,192,22,11111111111111,12
5,5,5,5,100,,,1000000,108,34,11111111111111,0
5,5,5,5,100,,,0100000,108,34,11111111111111,0
5,5,5,5,100,,,0001000,108,34,11111111111111,0
5,5,5,5,100,,,1000000,120,34,11111111111111,0
5,5,5,5,100,,,0100000,120,34,11111111111111,0
5,5,5,5,100,,,0001000,120,34,11111111111111,0
5,5,5,5,100,,,0000100,120,34,11111111111111,8
5,5,5,5,100,,,1000000,144,34,11111111111111,0
5,5,5,5,100,,,0100000,144,34,11111111111111,0
5,5,5,5,100,,,0001000,144,34,11111111111111,0
5,5,5,5,100,,,0000100,144,34,11111111111111,10
5,5,5,5,100,,,1000000,156,34,11111111111111,0
5,5,5,5,100,,,0100000,156,34,11111111111111,0
5,5,5,5,100,,,0001000,156,34,11111111111111,0
5,5,5,5,100,,,0000100,156,34,11111111111111,10
6,6,6,6,70,,,0010000,120,22,11111111111111,0
6,6,6,6,70,,,0001000,120,22,11111111111111,0
6,6,6,6,70,,,0000100,120,22,11111111111111,0
6,6,6,6,70,,,0100000,144,22,11111111111111,40
6,6,6,6,70,,,0010000,144,22,11111111111111,0
6,6,6,6,70,,,0001000,144,22,11111111111111,0
6,6,6,6,70,,,0000100,144,22,11111111111111,0
6,6,6,6,70,,,1000000,168,22,11111111111111,0
6,6,6,6,70,,,0100000,168,22,11111111111111,0
6,6,6,6,70,,,0010000,168,22,11111111111111,0
6,6,6,6,70,,,0001000,168,22,11111111111111,0
6,6,6,6,70,,,0000100,168,22,11111111111111,2
6,6,6,6,70,,,1000000,192,22,11111111111111,0
6,6,6,6,70,,,0100000,192,22,11111111111111,0
6,6,6,6,70,,,0010000,192,22,11111111111111,0
6,6,6,6,70,,,0001000,192,22,11111111111111,0
6,6,6,6,70,,,0000100,192,22,11111111111111,2
7,7,7,7,60,,,1000000,120,22,11111111111111,0
7,7,7,7,60,,,0100000,120,22,11111111111111,0
7,7,7,7,60,,,0010000,120,22,11111111111111,0
7,7,7,7,60,,,0001000,120,22,11111111111111,0
7,7,7,7,60,,,0000100,120,22,11111111111111,6
7,7,7,7,60,,,1000000,144,22,11111111111111,0
7,7,7,7,60,,,0100000,144,22,11111111111111,0
7,7,7,7,60,,,0010000,144,22,11111111111111,0
7,7,7,7,60,,,0001000,144,22,11111111111111,0
7,7,7,7,60,,,0000100,144,22,11111111111111,6
7,7,7,7,60,,,1000000,168,22,11111111111111,0
7,7,7,7,60,,,0010000,168,22,11111111111111,0
7,7,7,7,60,,,0000100,168,22,11111111111111,8
7,7,7,7,60,,,1000000,192,22,11111111111111,0
7,7,7,7,60,,,0100000,192,22,11111111111111,0
7,7,7,7,60,,,0000100,192,22,11111111111111,8
8,8,8,8,100,,,1000000,120,22,11111111111111,0
8,8,8,8,100,,,0100000,120,22,11111111111111,0
8,8,8,8,100,,,0001000,120,22,11111111111111,0
8,8,8,8,100,,,0000100,120,22,11111111111111,24
8,8,8,8,100,,,1000000,144,22,11111111111111,0
8,8,8,8,100,,,0100000,144,22,11111111111111,0
8,8,8,8,100,,,0001000,144,22,11111111111111,0
8,8,8,8,100,,,0000100,144,22,11111111111111,24
8,8,8,8,100,,,1000000,168,22,11111111111111,0
8,8,8,8,100,,,0100000,168,22,11111111111111,0
8,8,8,8,100,,,0001000,168,22,11111111111111,0
8,8,8,8,100,,,0000100,168,22,11111111111111,26
9,9,9,9,34,,,0010000,120,22,11111111111111,0
9,9,10,10,34,,9,1000000,96,22,11111111111111,0
9,9,10,10,34,,9,0100000,96,22,11111111111111,0
9,9,10,10,34,,9,0010000,96,22,11111111111111,0
9,9,10,10,34,,9,0001000,96,22,11111111111111,0
