student_id;course_id
1;17
1;165
1;24
2;32
2;16
2;132
2;71
2;156
2;14
2;79
2;15
3;32
3;16
3;132
3;71
3;156
3;14
3;79
4;32
4;16
4;132
4;71
4;9
4;156
4;14
4;79
5;32
5;16
5;132
5;71
5;14
5;62
5;79
5;15
6;32
6;16
6;132
6;71
6;135
6;155
6;14
6;79
7;32
7;16
7;132
7;71
7;9
7;155
7;14
7;79
8;32
8;16
8;132
8;71
8;156
8;14
8;79
8;15
9;32
9;16
9;132
9;71
9;135
9;155
9;14
9;79
10;32
10;16
10;132
10;71
10;14
10;62
10;79
11;32
11;16
11;132
11;71
11;155
11;14
11;79
11;15
12;32
12;16
12;132
12;71
12;155
12;14
12;79
13;32
13;16
13;132
13;71
13;135
13;156
13;14
13;79
14;32
14;16
14;132
14;71
14;135
14;14
14;62
14;79
15;32
15;16
15;132
15;71
15;9
15;14
15;62
15;79
16;32
16;16
16;132
16;71
16;9
16;14
16;62
16;79
17;96
17;34
17;86
17;42
17;59
18;64
18;115
18;147
18;5
18;103
18;121
18;27
18;63
19;17
19;165
19;88
19;24
19;171
19;45
20;17
20;18
20;88
20;24
20;45
21;17
21;24
21;125
21;93
21;45
22;17
22;88
22;24
22;45
23;17
23;99
23;88
23;24
23;93
23;45
24;51
24;68
24;5
24;133
24;6
24;7
24;42
24;27
24;59
24;143
24;63
25;64
25;49
25;146
25;51
25;4
25;5
25;53
25;42
25;27
25;59
25;108
26;17
26;18
26;85
26;87
26;25
26;89
26;42
26;91
26;108
26;125
26;46
27;180
27;6
27;105
27;27
27;14
27;62
27;79
28;64
28;131
28;134
28;75
28;76
29;17
29;99
29;165
29;88
29;10
29;45
29;46
30;49
30;115
30;68
30;117
30;6
30;70
30;125
30;14
30;63
31;117
31;134
32;64
32;32
32;83
33;96
33;64
33;34
33;185
33;59
34;17
34;165
34;88
34;24
34;45
35;100
35;56
36;17
36;18
36;19
36;35
36;21
36;9
36;158
36;47
37;64
38;7
38;153
39;17
39;165
39;88
39;24
39;45
40;17
40;165
40;88
40;186
40;92
40;45
40;126
41;17
41;99
41;85
41;165
41;88
41;24
41;171
41;45
42;17
42;99
42;165
42;88
42;24
42;45
43;17
43;99
43;165
43;88
43;24
43;92
43;45
44;17
44;163
44;165
44;88
44;24
44;45
45;161
45;123
45;140
45;92
45;93
45;46
46;17
46;24
46;91
46;44
46;45
47;17
47;90
47;10
47;140
48;85
48;53
48;133
48;105
48;158
49;17
49;163
49;99
49;165
49;88
49;24
49;45
50;64
50;32
50;146
50;53
50;6
50;38
50;9
50;10
50;43
50;158
51;146
51;178
51;99
51;5
51;102
51;183
51;27
51;125
51;158
52;49
52;152
52;154
52;42
52;27
52;59
53;17
53;99
53;24
53;91
53;44
53;93
53;45
53;110
54;17
54;88
54;24
54;45
55;17
55;99
55;180
55;117
55;167
55;137
55;10
55;92
55;125
55;93
55;46
56;17
56;18
56;102
56;24
56;93
56;46
57;69
57;151
57;72
57;73
57;108
58;17
58;18
58;117
58;102
58;24
58;123
58;93
58;46
59;16
59;53
59;71
60;99
60;92
60;93
60;46
61;24
61;108
61;92
61;93
61;45
61;46
62;32
62;48
62;17
62;18
62;21
62;10
62;92
63;32
63;48
63;162
63;117
63;21
63;85
63;27
63;108
63;92
64;114
64;163
64;21
64;24
64;125
64;93
64;158
65;49
65;180
65;7
65;167
65;136
65;10
65;171
66;42
66;158
67;161
67;19
67;35
68;40
69;64
69;49
69;68
69;59
70;17
70;99
70;165
70;88
70;44
70;45
70;46
71;85
71;104
71;106
71;172
71;109
71;93
71;46
72;42
72;10
72;108
73;17
73;24
73;92
73;93
73;46
74;17
74;165
74;88
74;186
74;91
74;45
74;126
75;102
75;89
75;108
75;92
75;125
75;93
75;46
76;134
77;99
77;24
78;17
78;146
78;117
78;102
78;167
78;90
78;10
78;123
78;171
78;140
78;93
78;46
79;80
79;25
80;17
80;165
80;88
80;24
80;91
80;92
80;46
81;17
81;178
81;117
81;90
81;140
81;93
81;46
82;151
83;125
84;17
84;173
84;93
85;80
85;97
85;50
85;178
85;67
85;132
85;167
85;109
85;93
85;110
86;161
86;146
86;123
86;171
86;93
87;49
87;114
87;105
87;10
87;59
87;110
88;17
88;118
88;88
88;91
88;92
88;45
88;95
89;112
89;161
89;146
89;99
90;17
90;18
90;99
90;165
90;88
90;47
91;161
91;97
91;4
91;87
91;23
91;108
91;31
92;17
92;99
92;85
92;165
92;167
92;88
92;24
92;171
92;45
93;137
94;32
94;16
94;83
94;84
94;132
94;71
94;14
94;62
94;79
95;18
95;23
95;25
95;10
95;123
95;27
95;171
95;158
96;123
96;125
97;161
97;98
97;87
97;156
98;48
98;18
98;27
99;98
99;146
99;114
99;117
99;102
99;123
99;92
99;93
99;46
100;165
100;89
100;90
100;108
100;93
100;126
100;46
101;17
101;163
101;165
101;166
101;88
101;24
101;90
101;45
102;27
103;114
103;148
103;136
103;138
103;59
103;75
103;63
104;64
104;69
104;72
104;14
105;17
105;137
105;140
105;46
106;154
107;17
107;18
107;99
107;165
107;88
107;93
107;47
108;17
108;178
108;165
108;88
108;24
108;169
108;170
108;171
108;45
108;174
108;111
109;17
109;85
109;165
109;88
109;24
109;45
110;165
110;26
110;94
111;17
111;165
111;88
111;24
111;45
112;17
112;165
112;88
112;24
112;45
113;64
113;134
113;123
113;76
114;5
114;6
114;42
114;78
114;110
114;49
114;146
114;114
114;51
114;83
114;25
114;27
114;59
114;156
114;158
115;32
115;48
115;49
115;27
115;93
116;167
117;17
117;162
117;99
117;117
117;88
117;24
117;45
118;17
118;165
118;88
118;24
118;45
119;17
119;114
119;99
119;165
119;88
119;24
119;90
119;91
119;44
119;175
120;17
120;18
120;163
120;88
120;24
120;47
121;17
121;85
121;24
121;89
122;17
122;99
122;167
122;88
122;171
122;45
123;5
123;6
124;64
124;49
124;146
124;53
124;57
124;42
124;27
125;17
125;163
125;99
125;85
125;165
125;88
125;24
125;89
125;45
125;111
126;17
126;18
126;88
126;24
126;45
127;17
127;118
127;88
127;91
127;92
127;44
127;45
127;95
128;17
128;163
128;85
128;165
128;88
128;24
128;45
129;17
129;99
129;88
129;24
129;92
129;93
129;45
130;17
130;162
130;88
130;24
130;91
130;93
130;45
131;17
131;165
131;182
131;88
131;24
131;170
131;45
132;17
132;88
132;24
132;171
132;91
132;45
132;111
133;69
133;6
133;73
133;59
133;63
134;134
134;136
135;134
136;5
137;146
137;51
137;53
137;27
137;108
137;143
138;64
138;4
138;6
138;7
138;27
138;59
138;62
138;63
139;64
140;64
140;49
140;73
140;27
140;62
141;64
141;35
141;99
141;68
141;6
141;70
141;167
141;8
141;42
141;108
141;172
141;110
141;175
141;23
141;59
141;123
142;17
142;163
142;165
142;88
142;24
142;45
143;17
143;102
143;88
143;24
143;45
143;111
143;31
144;17
144;18
144;114
144;85
144;88
144;47
145;18
145;88
145;47
146;26
146;29
146;159
147;17
147;25
147;91
147;93
147;46
148;17
148;114
148;88
148;24
148;90
148;125
148;93
148;110
148;46
149;104
149;106
149;172
149;109
149;174
149;46
149;17
149;178
149;85
149;152
149;90
149;91
149;92
150;49
150;19
150;116
150;7
150;10
151;116
151;152
151;26
151;170
151;10
151;59
151;124
151;93
151;111
152;17
152;54
152;171
152;46
152;31
153;114
153;117
154;17
154;99
154;180
154;165
154;88
154;24
154;171
154;44
154;45
155;120
155;123
155;46
156;64
156;116
156;133
156;59
157;96
157;161
158;161
158;97
158;98
158;117
158;87
158;90
158;10
158;123
158;171
158;140
159;161
159;90
159;107
159;110
159;46
159;175
160;64
160;116
160;87
160;137
160;59
160;140
160;125
161;161
161;104
161;106
161;172
161;109
162;115
162;85
162;101
162;102
162;140
162;44
162;110
162;63
163;17
163;99
163;165
163;102
163;91
163;44
163;45
164;99
164;117
164;167
164;88
164;123
164;93
164;110
164;46
165;17
165;117
165;88
165;24
165;90
165;91
165;108
166;17
166;102
166;167
166;10
166;92
166;93
166;110
166;46
167;97
167;18
167;85
167;104
167;106
167;107
167;108
167;158
168;17
168;162
168;178
168;85
168;165
168;88
168;24
168;91
168;93
168;45
169;17
169;99
169;117
169;167
169;93
169;46
170;114
170;117
170;102
170;90
170;171
170;125
170;46
171;17
172;99
172;117
172;24
172;10
172;123
172;92
172;93
172;46
173;64
173;80
173;146
173;167
173;87
173;23
173;42
174;167
174;137
174;123
174;171
174;110
175;69
175;14
176;108
177;53
177;102
177;7
177;90
177;63
178;132
178;71
178;158
179;64
179;35
179;4
179;10
179;42
179;108
179;140
179;109
179;49
179;51
179;53
179;27
179;59
180;64
180;149
180;27
181;97
181;98
181;99
181;35
181;117
181;102
181;25
181;123
181;93
181;158
181;46
181;31
182;14
182;62
183;161
184;17
184;162
184;114
184;99
184;165
184;88
184;24
184;93
184;45
184;111
185;17
185;99
185;88
185;24
185;93
185;45
186;90
186;46
187;105
188;108
188;93
188;46
189;144
189;114
189;184
189;105
189;125
189;46
189;143
190;162
191;146
191;100
191;137
191;27
192;146
192;152
192;137
192;10
192;123
193;17
193;89
193;93
194;114
194;36
194;117
194;87
194;25
194;90
194;123
194;92
194;110
194;46
195;17
195;117
195;24
195;25
195;123
195;93
195;46
196;35
196;102
196;103
196;88
196;10
196;93
197;17
197;114
197;117
197;102
197;88
197;24
197;90
197;92
197;46
198;17
198;117
198;165
198;102
198;167
198;90
198;92
198;125
198;93
198;110
198;46
199;184
200;176
200;86
200;92
201;161
201;163
201;102
201;171
201;140
201;110
201;46
201;81
201;146
201;117
201;87
201;90
201;123
201;93
202;98
202;146
202;114
202;117
202;21
202;102
202;24
202;122
202;90
202;93
202;110
202;46
203;17
203;85
203;88
203;24
203;89
203;171
203;45
204;161
