id ;capacity;room_days;room_start;room_lenght;room_weeks
1;15;0000100;144;;11111110111110
2;51;0000100;144;;11111110111110
3;38;0000100;168;;11111110111110
4;12;0000100;144;;11111111111111
4;12;0000100;144;;11111110111110
5;24;0000100;144;;11111110111110
6;12;0000100;144;;11111110111110
7;15;0000100;144;;11111110111110
8;40;0000100;216;;11111110111110
9;12;0000100;144;;11111110111110
10;15;0000100;144;;11111110111110
11;24;0000100;144;;11111110111110
12;34;0000100;144;;11111110111110
13;137;0000100;144;;11111110111110
13;137;0000100;210;;11111110111110
14;8;0000100;144;;11111110111110
15;12;0000100;144;;11111110111110
16;15;0000100;144;;11111110111110
17;18;0000100;144;;11111110111110
18;15;0000100;144;;11111110111110
19;10;0000100;144;;11111110111110
20;180;0000100;144;;11111110111110
20;180;0000100;210;;11111110111110
21;40;0000100;168;;11111110111110
22;18;0000100;144;;11111110111110
23;76;0000100;144;;11111110111110
24;34;0000100;144;;11111110111110
25;25;0000100;144;;11111110111110
26;12;0000100;144;;11111110111110
27;12;0000100;144;;11111110111110
28;40;0000100;144;;11111110111110
29;76;0000100;144;;11111110111110
30;248;0000100;144;;11111110111110
30;248;0000100;210;;11111110111110
31;15;0000100;144;;11111110111110
32;54;0000100;144;;11111110111110
33;8;0000100;144;;11111110111110
