id ;capacity;room_days;room_start;room_lenght;room_weeks
1;15;0000100;144;;1111111101111
1;15;0000010;72;;0000010000000
2;51;0000100;144;;1111111101111
2;51;0000010;72;;0000010000000
3;38;0000100;144;;1111111101111
3;38;0000010;72;;0000010000000
4;12;0000100;144;;1111111111111
4;12;0000100;144;;1111111101111
4;12;0000010;72;;0000010000000
5;24;0000100;144;;1111111101111
5;24;0000010;72;;0000010000000
6;12;0000100;168;;1111111101111
6;12;0000010;72;;0000010000000
7;16;0000100;144;;1111111101111
7;16;0000010;72;;0000010000000
8;15;0000100;144;;1111111101111
8;15;0000010;72;;0000010000000
9;10;0000100;144;;1111111101111
9;10;0000010;72;;0000010000000
10;10;0000100;144;;1111111101111
10;10;0000010;72;;0000010000000
11;40;0000100;216;;1111111101111
11;40;0000010;72;;0000010000000
12;12;0000100;144;;1111111101111
12;12;0000010;72;;0000010000000
13;15;0000100;144;;1111111101111
13;15;0000010;72;;0000010000000
14;24;0000100;144;;1111111101111
14;24;0000010;72;;0000010000000
15;34;0000100;144;;1111111101111
15;34;0000010;72;;0000010000000
16;137;0000100;144;;1111111101111
16;137;0000010;72;;0000010000000
17;8;0000100;144;;1111111101111
17;8;0000010;72;;0000010000000
18;12;0000100;144;;1111111101111
18;12;0000010;72;;0000010000000
19;15;0000100;144;;1111111101111
19;15;0000010;72;;0000010000000
20;18;0000100;144;;1111111101111
20;18;0000100;192;;1111111101111
20;18;0000010;72;;0000010000000
21;15;0000100;144;;1111111101111
21;15;0000010;72;;0000010000000
22;10;0000100;144;;1111111101111
22;10;0000010;72;;0000010000000
23;180;0000100;144;;1111111101111
23;180;0000010;72;;0000010000000
24;40;0000100;144;;1111111101111
24;40;0000010;72;;0000010000000
25;18;0000100;144;;1111111101111
25;18;0000010;72;;0000010000000
26;76;0000100;144;;1111111101111
26;76;0000010;72;;0000010000000
27;34;0000100;144;;1111111101111
27;34;0000010;72;;0000010000000
28;25;0000100;144;;1111111101111
28;25;0000010;72;;0000010000000
29;12;0000100;144;;1111111101111
29;12;0000010;72;;0000010000000
30;40;0000100;144;;1111111101111
30;40;0000010;72;;0000010000000
31;76;0000100;144;;1111111101111
31;76;0000010;72;;0000010000000
32;248;0000100;144;;1111111101111
32;248;0000010;72;;0000010000000
33;15;0000100;144;;1111111101111
33;15;0000010;72;;0000010000000
34;54;0000100;144;;1111111101111
34;54;0000010;72;;0000010000000
35;30;0000100;144;;1111111101111
35;30;0000010;72;;0000010000000
